GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2016;07337;Südliche Weinstraße, Landkreis;1425;1457;1912;2585;1776;1238;2976;2943;2966;3008;2985;4327;5322;4738;4007;5768;5370;1339;1318;1768;2256;1631;1201;2632;2765;2934;2933;3216;4498;5178;4756;3998;6078;7581
31.12.2016;07338;Rhein-Pfalz-Kreis;2262;2124;2768;3397;2408;1752;3840;4230;4152;4461;4329;5891;7069;6379;5064;7672;7678;2076;1955;2542;3266;2241;1530;3417;3873;4186;4584;4416;6025;7048;6418;5185;8509;10296
31.12.2016;07339;Mainz-Bingen, Landkreis;2957;3005;4055;5205;3430;2519;5747;5595;5649;6153;6236;8747;9717;8355;6929;10211;8668;2847;2746;3842;4912;3175;2328;4850;5173;5746;6441;6613;8919;9770;8630;7077;10740;12197
31.12.2016;07340;Südwestpfalz, Landkreis;1091;1066;1405;2028;1473;1038;2549;2658;2472;2398;2470;3710;4475;4339;3766;5116;5391;1084;1063;1386;1797;1296;938;2172;2342;2349;2457;2544;3701;4630;4291;3767;5259;7436
31.12.2016;08111;Stuttgart, kreisfreie Stadt;9734;8077;11062;13052;8067;6470;21581;30548;29375;24810;21549;23414;23340;18884;14778;24129;24425;9041;7855;10569;12222;7337;5867;20779;29395;27128;23138;20055;21640;21472;18304;15932;27618;36385
31.12.2016;08115;Böblingen, Landkreis;6139;5691;7496;9757;6459;4455;10965;12875;12720;12495;12196;15273;16250;13882;10838;16954;17125;5877;5514;7170;9053;5794;4219;9857;11948;12254;12628;12030;14807;15722;13762;11489;19059;23135
31.12.2016;08116;Esslingen, Landkreis;7657;7092;9922;12927;8485;6559;16952;18232;17167;16819;16744;21078;22975;18989;14637;23390;24083;7352;6872;9340;12085;7868;5624;14109;16007;16010;16489;16584;20571;21911;18725;15667;26790;33080
31.12.2016;08117;Göppingen, Landkreis;3601;3374;4615;6183;4380;3142;7835;8042;7659;7643;7657;9878;11165;9644;7789;11982;12041;3390;3236;4516;5962;3944;2724;6632;7080;7203;7466;7550;9744;10551;9606;8020;13357;17007
31.12.2016;08118;Ludwigsburg, Landkreis;8379;7868;10362;13168;8817;6145;15524;17908;17665;18020;17282;21713;23095;19072;15034;23295;23238;8043;7446;9989;12530;8047;5443;14065;16932;16901;17623;17113;20958;21870;19154;16093;26495;32615
31.12.2016;08119;Rems-Murr-Kreis;6156;5667;7785;10598;7023;5084;12713;13088;12673;12490;12768;16891;18824;15901;12475;19193;19516;5781;5487;7443;9925;6667;4659;11042;11990;12332;12635;12864;16699;18280;15643;13251;21604;27551
31.12.2016;08121;Heilbronn, kreisfreie Stadt;1973;1823;2371;3001;1909;1454;4270;5309;4691;4290;4088;4608;4755;4072;3210;5074;5290;1794;1741;2265;2820;1659;1321;3798;4252;3981;3913;3793;4202;4307;4163;3563;6013;7998
31.12.2016;08125;Heilbronn, Landkreis;5062;4720;6258;8488;5914;4248;10349;11192;10661;10923;10710;13716;15133;13191;10142;14738;13757;4745;4389;6155;8073;5565;3689;8692;9806;10084;10356;10539;13196;14604;12542;10580;16069;19285
31.12.2016;08126;Hohenlohekreis;1590;1504;2178;2755;2022;1421;3570;3862;3720;3352;3332;4375;4920;4423;3481;4798;4582;1606;1375;1956;2643;1755;1206;3042;3368;3072;3200;3236;4240;4625;4276;3535;5045;6624
31.12.2016;08127;Schwäbisch Hall, Landkreis;2927;2733;3635;5061;3418;2405;6037;6584;6525;6020;5830;7471;8355;7580;6201;8415;7615;2773;2561;3572;4697;3097;2106;5204;5730;5756;5656;5590;7249;8032;7390;6557;8734;11442
31.12.2016;08128;Main-Tauber-Kreis;1749;1679;2248;3211;2194;1633;4099;4265;3971;3797;3739;5006;5745;5330;4465;6539;6270;1623;1534;2222;3061;2063;1415;3355;3541;3528;3655;3774;4895;5643;5297;4598;6893;9237
31.12.2016;08135;Heidenheim, Landkreis;1766;1751;2469;3321;2380;1623;4029;4176;4116;3930;3777;4922;5602;4972;4072;6078;6420;1811;1627;2348;3118;2051;1422;3418;3606;3776;3712;3769;4855;5314;5010;4112;6684;9461
31.12.2016;08136;Ostalbkreis;4373;4149;5848;7923;5521;3867;10246;10270;9529;9236;9547;12070;13175;12013;9680;14144;13532;4072;3990;5613;7721;5131;3594;8872;8930;8847;8968;9303;11673;12724;11796;10077;15218;19935
31.12.2016;08211;Baden-Baden, kreisfreie Stadt;674;612;855;1109;772;582;1554;1434;1452;1543;1447;1977;2273;1954;1678;2863;3141;610;546;766;1051;721;492;1248;1401;1500;1544;1568;2165;2372;2180;1901;3523;4799
31.12.2016;08212;Karlsruhe, kreisfreie Stadt;4284;3789;5007;6084;4045;4191;15874;16497;13277;10796;9560;11238;11846;9671;7764;12079;12205;4034;3546;4642;5670;3448;3129;11574;13047;11364;9847;8926;10514;11049;9807;8368;14039;18788
31.12.2016;08215;Karlsruhe, Landkreis;6113;6067;8125;10633;7088;5495;13275;13821;13474;13335;13305;17590;19603;17292;13771;20714;19669;5840;5666;7515;9782;6586;4565;10723;12061;12592;13156;13376;17334;19311;17196;14483;22541;28240
31.12.2016;08216;Rastatt, Landkreis;3173;2995;4127;5455;3779;2672;6521;6941;6848;6625;6666;8922;10469;9334;7684;10788;10502;2943;2870;3799;5156;3575;2367;5685;6164;6465;6748;6730;8943;10032;9185;7837;11541;15366
31.12.2016;08221;Heidelberg, kreisfreie Stadt;2277;1997;2500;2780;1778;2330;7820;8839;7591;5696;4479;5197;5124;4306;3641;5597;5215;2141;1826;2426;2735;1647;2232;9378;9255;7446;5603;4498;4863;5258;4571;3997;6618;8253
31.12.2016;08222;Mannheim, kreisfreie Stadt;4668;4011;5142;6396;4184;3765;11874;13894;12484;10594;9530;11426;12083;9926;7973;12336;11917;4397;3658;4875;5889;3797;3257;11226;12585;11086;10059;9145;10537;11108;9920;8508;14425;18106
31.12.2016;08225;Neckar-Odenwald-Kreis;1830;1770;2476;3599;2447;1899;4535;4662;4211;3983;4042;5584;6511;6002;4896;7001;6533;1819;1717;2317;3368;2182;1455;3537;3763;3757;3901;4171;5449;6318;5951;4933;7301;9358
31.12.2016;08226;Rhein-Neckar-Kreis;7792;7643;10189;13114;8601;6400;15647;16753;16012;16165;15695;21842;23921;20572;16527;26094;24655;7480;7179;9528;12209;7939;5558;13850;15245;16086;16822;16375;21812;23843;21135;17625;29256;34836
31.12.2016;08231;Pforzheim, kreisfreie Stadt;1984;1794;2322;3030;2012;1421;4161;4942;4531;3999;3536;4363;4575;4204;3365;5037;5306;1948;1684;2164;2807;1781;1321;4053;4467;3892;3752;3479;4234;4507;4284;3809;6222;8507
31.12.2016;08235;Calw, Landkreis;2257;2119;2909;4065;2794;2009;4835;4910;4499;4592;4670;5988;7020;6310;5037;7250;6880;2056;1911;2806;3714;2534;1730;3927;4157;4142;4414;4657;5896;6761;6272;5187;7644;10008
31.12.2016;08236;Enzkreis;2729;2652;3716;4994;3519;2482;5815;5827;5553;5683;5748;7825;8997;7862;6150;9235;8944;2550;2524;3483;4674;3274;2261;4857;5158;5504;5677;5795;8031;8821;7793;6372;9990;12751
31.12.2016;08237;Freudenstadt, Landkreis;1577;1556;2178;3060;2119;1529;3664;3718;3387;3307;3474;4505;5201;4679;3867;5223;5088;1571;1433;2118;2822;1904;1305;3080;3173;3290;3225;3406;4451;5186;4619;3745;5542;7690
31.12.2016;08311;Freiburg im Breisgau, kreisfreie Stadt;3719;3203;3973;4660;3027;2745;9150;11411;9823;7610;6408;7373;7937;6661;5411;7936;7456;3370;3029;3806;4663;2776;2845;12441;12305;9693;7498;6667;7500;7872;7062;6050;9344;12166
31.12.2016;08315;Breisgau-Hochschwarzwald, Landkreis;3773;3680;5049;6574;4488;3249;7890;7723;7374;7431;7277;9840;11236;9816;8167;12623;12125;3663;3405;4716;6097;4072;2876;6756;7066;7183;7623;7663;10188;11405;10133;8871;13672;16712
31.12.2016;08316;Emmendingen, Landkreis;2311;2233;3115;4239;2782;1994;4736;4856;4744;4659;4735;6458;7251;6387;5389;7513;7134;2285;2148;2900;3759;2562;1831;4157;4395;4651;4826;4890;6404;7249;6578;5563;8291;10226
31.12.2016;08317;Ortenaukreis;6133;5897;8064;10594;7255;5147;12687;13556;12770;12154;12220;16540;18686;16688;13906;19002;19096;5900;5485;7703;10117;6679;4569;11098;12240;12034;12044;12156;16205;17944;16499;14143;20255;27893
31.12.2016;08325;Rottweil, Landkreis;2052;1974;2639;3503;2527;1743;4135;4361;3966;3961;4060;5442;6220;5419;4305;6328;6432;1907;1857;2463;3414;2247;1611;3553;3843;3828;3777;3974;5222;5914;5281;4354;6788;9227
31.12.2016;08326;Schwarzwald-Baar-Kreis;2849;2803;3809;4903;3407;2700;6738;7303;6615;6157;5838;7510;8742;8051;6571;9901;10339;2884;2607;3673;4789;3141;2165;5672;6286;5955;5925;5730;7542;8503;8040;6984;10936;15016
31.12.2016;08327;Tuttlingen, Landkreis;2074;2097;2755;3737;2557;1740;4340;4770;4573;4246;4271;5148;5786;5147;4195;5731;6113;2112;1953;2690;3505;2287;1503;3587;4272;4025;4187;4050;4984;5427;5123;4258;6261;8615
31.12.2016;08335;Konstanz, Landkreis;4006;3719;5039;6553;4460;3651;10713;9777;8521;7854;7638;10317;11679;10191;7966;12602;12776;3765;3485;4954;6348;4164;3585;10078;9001;8573;8120;8112;10811;12027;10263;8780;14271;18392
31.12.2016;08336;Lörrach, Landkreis;3367;3193;4432;5739;3803;2703;6609;6910;6968;6584;6563;8745;9981;8935;6884;9902;10043;3206;3109;4246;5312;3673;2520;5768;6786;6839;6994;6886;9064;10110;9064;7089;10998;14520
31.12.2016;08337;Waldshut, Landkreis;2455;2388;3344;4407;3013;2117;4972;5160;4954;4850;4782;6303;7333;6548;5354;7912;7701;2349;2247;3238;4085;2730;1916;4182;4864;4902;4877;4864;6293;7148;6539;5768;8309;10948
31.12.2016;08415;Reutlingen, Landkreis;4202;3868;5347;7088;4797;3471;9162;9382;8805;8426;8580;11077;12228;10590;8588;12377;12859;3892;3655;5082;6616;4360;3189;7953;8624;8218;8393;8606;10950;12009;10548;8978;13609;18553
31.12.2016;08416;Tübingen, Landkreis;3377;3068;4138;5396;3595;3002;9233;9439;7935;6758;6205;7866;8854;7875;6245;8679;7880;3249;2987;4010;5119;3344;3237;10567;9347;7586;6606;6482;7869;9003;7997;6707;9255;11725
31.12.2016;08417;Zollernalbkreis;2438;2395;3335;4505;3111;2267;5797;5846;5449;5198;5441;7168;8368;7620;5996;8807;8990;2343;2280;3148;4297;2882;2045;4897;5199;5100;5085;5399;7087;8164;7489;6370;9437;13448
31.12.2016;08421;Ulm, kreisfreie Stadt;1905;1758;2209;2742;1790;1543;4927;5702;4964;4350;3957;4472;4499;3638;3071;4922;4795;1748;1681;2130;2576;1610;1443;4879;5236;4584;4076;3791;4171;4194;3957;3595;5765;7273
31.12.2016;08425;Alb-Donau-Kreis;2893;2767;3885;5249;3593;2555;6214;6364;6052;5940;5934;7665;8598;7366;5990;8374;8041;2825;2685;3622;4894;3209;2297;5098;5519;5366;5785;5822;7374;8147;7189;5908;8636;11462
31.12.2016;08426;Biberach, Landkreis;3100;2934;3985;5318;3524;2569;6120;6685;6324;6024;6253;7805;8405;7469;6093;8304;7808;2969;2757;3823;4927;3311;2329;5265;5908;5946;5816;5970;7435;8100;7367;5928;8449;11186
31.12.2016;08435;Bodenseekreis;2970;2833;3871;5120;3669;2655;6176;6380;6255;6361;6210;8148;8957;7834;6215;10852;10441;2816;2750;3775;4762;3262;2389;5484;5988;6098;6318;6164;8221;9019;8094;6981;12004;13998
31.12.2016;08436;Ravensburg, Landkreis;4106;3906;5494;7319;5067;3741;9456;9752;8589;8431;8522;11035;11896;10231;8228;12743;11658;4044;3760;5156;6772;4645;3367;8123;8799;8352;8243;8371;10981;11641;10460;8644;13472;16623
31.12.2016;08437;Sigmaringen, Landkreis;1898;1771;2454;3350;2375;1896;4482;4475;3856;3660;3761;4889;5872;5170;4111;5765;5697;1681;1641;2298;3127;2238;1597;3592;3672;3628;3536;3625;4959;5653;5062;4197;6085;8202
31.12.2016;09161;Ingolstadt, kreisfreie Stadt;2188;1880;2446;2978;2029;1519;4034;6086;6065;5035;4299;4997;4998;4536;3495;5407;5391;2053;1789;2253;2872;1674;1221;3679;5291;5077;4618;4116;4651;4758;4393;3816;6112;7883
31.12.2016;09162;München, kreisfreie Stadt;24925;20925;24628;28017;16808;13891;44755;66910;67836;59124;50998;56492;53503;41506;32196;58582;53016;23781;19967;23783;26733;15477;12350;46238;70465;68491;59107;50177;52883;52113;42981;37362;69550;78731
31.12.2016;09163;Rosenheim, kreisfreie Stadt;942;789;1130;1410;911;696;2078;2647;2426;2085;1994;2345;2477;1998;1521;2847;2464;867;812;1100;1338;885;625;2021;2265;2161;2039;1979;2203;2450;1983;1852;3459;3873
31.12.2016;09171;Altötting, Landkreis;1529;1434;2011;2685;1735;1312;3243;3247;3327;3208;3263;4323;4666;4351;3431;5120;4992;1544;1440;1839;2542;1672;1171;2913;2970;3115;3083;3135;4095;4681;4285;3621;5907;7532
31.12.2016;09172;Berchtesgadener Land, Landkreis;1454;1322;1720;2307;1576;1234;3243;3608;3431;3119;2887;3934;4224;3650;2928;5402;5221;1269;1240;1671;2139;1429;1054;2852;3187;3191;3027;2887;3873;4375;3768;3281;6201;7776
31.12.2016;09173;Bad Tölz-Wolfratshausen, Landkreis;1823;1781;2457;3121;2072;1584;3707;3784;3551;3701;3717;5029;5531;4687;3607;5952;5799;1728;1640;2236;2985;1938;1373;3269;3394;3581;3846;3839;5159;5507;4682;3783;6712;8093
31.12.2016;09174;Dachau, Landkreis;2309;2340;2906;3645;2484;1939;4618;4903;4970;5359;4984;6324;6702;5510;4198;6461;5757;2182;2121;2861;3578;2111;1584;4174;4395;4890;5246;4980;6245;6422;5372;4200;7053;8016
31.12.2016;09175;Ebersberg, Landkreis;2190;2207;2976;3698;2429;1815;4149;3910;4066;4575;4661;6131;6197;5043;3572;5798;5860;2122;2039;2810;3442;2227;1563;3466;3607;4110;4737;4743;6034;6007;4848;3684;6538;7762
31.12.2016;09176;Eichstätt, Landkreis;2099;2075;2598;3427;2313;1799;4429;4568;4519;4493;4359;5229;5628;5009;3834;5227;4997;2062;1921;2466;3188;2146;1494;3818;3939;4145;4146;3919;4910;5288;4812;3704;5275;6972
31.12.2016;09177;Erding, Landkreis;2201;2011;2702;3578;2336;1698;4234;4314;4195;4654;4695;6098;6403;5137;3812;5417;4735;1917;1877;2545;3373;2235;1549;3761;3958;4239;4539;4443;5786;6205;4811;3770;5674;6527
31.12.2016;09178;Freising, Landkreis;2736;2699;3422;4326;2873;2306;6367;6991;6530;6274;6151;7509;7973;6353;4597;6578;5828;2643;2508;3201;4080;2573;2014;5584;6140;5998;6053;5566;7127;7291;5953;4477;7167;7915
31.12.2016;09179;Fürstenfeldbruck, Landkreis;3209;3320;4305;5248;3457;2654;6234;6343;6265;7014;6833;8933;9053;7379;5581;10364;10098;3127;3192;4092;5131;3166;2224;5423;5952;6275;7241;6974;8648;9195;7584;6308;12194;13841
31.12.2016;09180;Garmisch-Partenkirchen, Landkreis;1188;1068;1465;1917;1359;1019;2708;2665;2342;2369;2328;3323;3821;3111;2516;4672;4764;1099;1019;1359;1758;1200;894;2298;2346;2383;2509;2510;3500;3884;3298;2743;5555;6887
31.12.2016;09181;Landsberg am Lech, Landkreis;1669;1655;2348;3044;2210;1647;3833;3573;3491;3532;3498;5067;5476;4615;3393;5598;4886;1587;1574;2205;2974;1997;1401;2942;3014;3137;3443;3703;5014;5531;4547;3554;5924;6643
31.12.2016;09182;Miesbach, Landkreis;1390;1285;1867;2327;1567;1238;2934;2884;2747;2830;2859;4083;4263;3671;2700;4876;4801;1305;1246;1763;2247;1342;963;2500;2645;2683;2968;3067;4092;4516;3730;2884;5764;6791
31.12.2016;09183;Mühldorf am Inn, Landkreis;1701;1602;2063;2784;1822;1457;3713;3844;3589;3585;3566;4637;5009;4434;3570;5214;4622;1560;1477;2005;2564;1775;1289;3085;3183;3140;3294;3345;4328;4718;4324;3493;5684;6746
31.12.2016;09184;München, Landkreis;5320;5255;7465;9048;5235;4118;10764;10405;10278;11154;11379;14699;14413;11195;8402;15444;15803;4977;5015;7080;8413;4899;3538;8319;9333;10097;11678;11694;14400;14207;11178;9101;18231;20868
31.12.2016;09185;Neuburg-Schrobenhausen, Landkreis;1447;1384;1819;2417;1620;1258;3038;3202;3082;3281;3094;3870;4158;3754;2871;4257;3724;1434;1357;1795;2214;1512;1120;2567;2687;2896;3008;2875;3598;3917;3697;2908;4408;5490
31.12.2016;09186;Pfaffenhofen an der Ilm, Landkreis;1928;1802;2377;2971;2061;1618;3994;4343;4394;4415;4125;5209;5694;4983;3768;5288;4794;1797;1800;2230;2908;1888;1322;3296;3579;4043;3993;3729;4776;5346;4722;3788;5528;6576
31.12.2016;09187;Rosenheim, Landkreis;3619;3545;4853;6504;4426;3232;7886;7993;7593;7482;7539;10387;11205;9687;7497;12748;11269;3425;3534;4465;6081;3965;2812;6733;6987;7106;7527;7783;10512;11497;9853;7991;14036;15694
31.12.2016;09188;Starnberg, Landkreis;1872;1930;2806;3615;2312;1678;3593;3346;3134;3687;3917;5530;6007;4713;3547;6736;6871;1754;1849;2675;3422;2153;1438;3074;3189;3314;4034;4438;5732;6278;4978;4032;8083;8995
31.12.2016;09189;Traunstein, Landkreis;2386;2249;3101;4095;2852;2223;5575;5483;5189;5027;5104;6563;7412;6727;5237;8914;8583;2263;2163;2975;3970;2603;1885;4632;4844;4824;4913;5113;6621;7572;6820;5541;9932;12040
31.12.2016;09190;Weilheim-Schongau, Landkreis;1946;1900;2523;3299;2275;1774;4135;3910;3898;3796;3818;5150;5958;5124;4123;6579;6323;1836;1797;2376;3201;2130;1432;3439;3545;3707;3826;3857;5467;5886;5131;4213;7054;8431
31.12.2016;09261;Landshut, kreisfreie Stadt;1043;881;1233;1417;947;717;2309;2694;2464;2358;2269;2764;2713;2183;1881;3100;2954;929;887;1155;1382;868;642;2288;2579;2386;2308;2286;2642;2641;2465;2149;3790;4701
31.12.2016;09262;Passau, kreisfreie Stadt;579;507;716;888;588;622;2285;2508;1965;1408;1339;1633;1794;1620;1375;2346;2207;607;547;669;882;588;679;2751;2342;1650;1423;1260;1624;1758;1827;1603;2883;3601
31.12.2016;09263;Straubing, kreisfreie Stadt;567;565;753;981;704;489;1516;1928;1765;1639;1466;1878;1950;1852;1379;2264;1987;596;488;679;885;595;425;1365;1605;1440;1399;1309;1695;1845;1810;1553;2555;3215
31.12.2016;09271;Deggendorf, Landkreis;1485;1589;1955;2778;1987;1427;3881;3834;3672;3607;3603;4559;5158;4740;3868;5630;4684;1500;1411;1921;2672;1781;1279;3374;3404;3331;3498;3565;4568;5017;4804;3958;5975;7086
31.12.2016;09272;Freyung-Grafenau, Landkreis;996;932;1236;1813;1365;1013;2341;2365;2207;2203;2312;3057;3433;3502;2948;4009;3257;942;875;1135;1693;1202;870;2163;2077;2080;2034;2353;2985;3535;3406;2863;3935;5043
31.12.2016;09273;Kelheim, Landkreis;1772;1696;2359;3007;2056;1570;4058;4157;3946;3821;3950;4923;5405;4646;3745;5157;4610;1635;1661;2155;2960;1946;1281;3348;3466;3569;3639;3757;4627;4972;4397;3727;5314;6637
31.12.2016;09274;Landshut, Landkreis;2291;2205;3098;3894;2731;1940;4877;5082;4780;5024;5103;6665;7150;6279;4747;7046;5946;2202;2061;2921;3728;2508;1692;4019;4072;4390;4771;4977;6236;6829;5932;4816;7163;8267
31.12.2016;09275;Passau, Landkreis;2397;2417;3180;4521;3115;2209;5590;5647;5284;5637;5813;7623;8184;7719;6401;9790;8150;2302;2320;2997;4072;2868;1990;4895;5138;5102;5422;5633;7253;8197;7764;6685;10212;12377
31.12.2016;09276;Regen, Landkreis;984;966;1291;1738;1249;934;2363;2609;2268;2194;2302;2946;3324;3325;2751;4087;3237;948;822;1122;1621;1196;765;1978;2108;2056;2131;2184;2901;3351;3238;2795;4107;5296
31.12.2016;09277;Rottal-Inn, Landkreis;1617;1551;2136;2816;2030;1497;3815;3728;3539;3540;3664;4751;5196;4784;3826;5744;5387;1509;1457;2034;2756;1878;1307;3291;3237;3344;3428;3401;4550;5036;4853;3880;6084;7951
31.12.2016;09278;Straubing-Bogen, Landkreis;1379;1344;1758;2582;1777;1280;2924;3145;2907;2993;3195;4243;4513;4064;3334;4527;3902;1283;1263;1834;2356;1577;1119;2561;2575;2778;2948;3134;4091;4288;3920;3197;4713;5717
31.12.2016;09279;Dingolfing-Landau, Landkreis;1285;1258;1658;2268;1634;1131;3288;3703;3370;3145;3188;3894;4176;3967;3054;4232;3836;1194;1115;1574;2176;1468;942;2538;2820;2735;2710;2767;3619;3909;3774;2906;4368;5333
31.12.2016;09361;Amberg, kreisfreie Stadt;520;493;739;898;650;477;1388;1609;1502;1295;1112;1509;1778;1577;1356;2003;1995;530;507;621;870;590;407;1094;1317;1182;1103;1128;1523;1768;1623;1479;2316;3389
31.12.2016;09362;Regensburg, kreisfreie Stadt;2201;1805;2312;2778;1849;1521;5692;8208;6966;5254;4497;5189;5149;4334;3415;5445;5185;2083;1760;2285;2630;1608;1504;6635;8293;6294;5141;4448;5047;5288;4578;3970;6531;8743
31.12.2016;09363;Weiden in der Oberpfalz, kreisfreie Stadt;533;499;654;850;680;514;1315;1516;1345;1219;1124;1610;1755;1612;1240;2013;1978;533;471;650;873;597;449;1240;1391;1236;1237;1239;1565;1775;1646;1418;2429;3288
31.12.2016;09371;Amberg-Sulzbach, Landkreis;1244;1209;1804;2470;1792;1299;3160;3185;2927;2892;2945;4161;4835;4635;3652;4700;4629;1185;1214;1652;2225;1679;1111;2761;2777;2739;2847;2920;4017;4735;4326;3491;4904;6887
31.12.2016;09372;Cham, Landkreis;1779;1534;2188;2867;2094;1524;3763;4051;3773;3829;3879;5055;5662;5347;4535;6253;5456;1592;1564;2042;2771;1970;1307;3456;3611;3570;3547;3803;4809;5461;5155;4340;6190;8141
31.12.2016;09373;Neumarkt in der Oberpfalz, Landkreis;1908;1811;2413;3114;2372;1690;4354;4438;4005;4137;4158;5479;6037;5436;4290;5747;5137;1781;1709;2248;3096;2149;1483;3727;3668;3683;3902;3947;5194;5786;5092;4177;5829;7665
31.12.2016;09374;Neustadt an der Waldnaab, Landkreis;1158;1166;1655;2253;1671;1174;2857;2812;2755;2693;2783;3697;4399;4062;3349;4451;4061;1082;1111;1557;2141;1515;1125;2468;2571;2676;2677;2744;3891;4203;3870;3175;4599;6127
31.12.2016;09375;Regensburg, Landkreis;2771;2774;3582;4733;3168;2330;5644;5599;5720;6054;6083;8034;8646;7713;6229;8917;7270;2688;2515;3446;4384;2948;2120;4847;5035;5450;6056;6124;7619;8530;7626;6382;9029;10415
31.12.2016;09376;Schwandorf, Landkreis;1945;1854;2439;3383;2461;1741;4498;4840;4434;4541;4653;5862;6617;6093;4915;6665;6113;1794;1751;2389;3210;2187;1602;3914;4046;4111;4324;4260;5609;6312;5605;4817;7017;9380
31.12.2016;09377;Tirschenreuth, Landkreis;935;859;1189;1610;1175;875;2218;2237;2053;1959;2175;2879;3326;3138;2615;3606;3436;863;854;1154;1513;1074;795;1949;1866;1862;1978;2037;2844;3219;2973;2539;3767;5346
31.12.2016;09461;Bamberg, kreisfreie Stadt;1114;971;1145;1384;951;845;2800;3865;3196;2296;1981;2639;2697;2414;1926;3058;3004;1007;873;1182;1353;846;807;3386;4011;2816;2246;2086;2585;2800;2594;2121;3590;5154
31.12.2016;09462;Bayreuth, kreisfreie Stadt;849;688;1010;1321;879;1065;4061;3418;2450;2097;1913;2357;2522;2314;1971;3344;3179;779;723;975;1249;805;1063;3851;3104;2110;1916;1900;2410;2674;2488;2370;3949;5261
31.12.2016;09463;Coburg, kreisfreie Stadt;499;446;620;811;578;473;1347;1639;1478;1123;1012;1464;1667;1525;1221;2004;2022;491;449;623;723;536;398;1223;1449;1222;1103;1067;1527;1668;1664;1389;2305;3305
31.12.2016;09464;Hof, kreisfreie Stadt;632;566;703;886;705;538;1339;1554;1348;1227;1210;1631;1802;1654;1416;2304;2116;594;532;681;885;599;513;1280;1410;1261;1233;1214;1672;1787;1715;1608;2820;3748
31.12.2016;09471;Bamberg, Landkreis;2141;1993;2683;3491;2532;1823;4345;4589;4401;4464;4556;6061;6768;6312;4833;6486;5685;2021;1895;2543;3469;2275;1509;3627;4116;4355;4465;4503;5957;6648;5950;4815;6448;8283
31.12.2016;09472;Bayreuth, Landkreis;1288;1349;1877;2388;1749;1163;2802;2774;2785;2917;3082;4322;4824;4458;3648;5164;4775;1214;1215;1708;2361;1545;1097;2431;2588;2774;2940;3178;4301;4577;4344;3566;5384;7288
31.12.2016;09473;Coburg, Landkreis;1118;1104;1410;1924;1485;995;2338;2500;2462;2387;2324;3555;3968;3663;2993;4449;4257;1055;963;1319;1876;1253;870;2005;2143;2395;2361;2465;3467;3895;3644;3107;4676;6308
31.12.2016;09474;Forchheim, Landkreis;1588;1556;2014;2716;1918;1408;3357;3451;3321;3545;3326;4478;5459;4935;3866;5313;4840;1562;1556;2064;2694;1788;1213;2937;3136;3360;3462;3351;4628;5249;4833;3744;5588;7003
31.12.2016;09475;Hof, Landkreis;1017;1037;1464;2099;1489;1081;2487;2493;2293;2366;2567;3866;4448;4138;3371;5286;5284;1029;993;1398;2036;1382;945;2157;2313;2239;2386;2669;3916;4241;4061;3394;5726;8244
31.12.2016;09476;Kronach, Landkreis;701;747;983;1396;1077;713;1729;1860;1808;1856;1946;2816;3279;2997;2490;3487;3419;713;715;989;1381;963;647;1552;1618;1677;1762;2032;2741;3032;2965;2445;3667;5410
31.12.2016;09477;Kulmbach, Landkreis;761;768;1140;1632;1199;861;1883;1925;1880;1941;2066;2914;3349;3110;2591;3816;3456;759;718;1126;1518;1036;713;1653;1670;1761;1922;2230;2971;3165;3076;2707;4069;5607
31.12.2016;09478;Lichtenfels, Landkreis;864;806;1109;1373;1034;770;1935;1946;1793;1928;1963;2615;3090;2805;2373;3269;3199;818;813;1105;1413;972;646;1659;1746;1789;1905;1972;2597;2985;2808;2349;3456;4735
