GENESIS-Tabelle: 12411-0016
Bevölkerung: Kreise, Stichtag, Geschlecht;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
31.12.2016;08126;Hohenlohekreis;55885;54804;110689
31.12.2016;08127;Schwäbisch Hall, Landkreis;96812;96146;192958
31.12.2016;08128;Main-Tauber-Kreis;65940;66334;132274
31.12.2016;08135;Heidenheim, Landkreis;65404;66094;131498
31.12.2016;08136;Ostalbkreis;155123;156464;311587
31.12.2016;08211;Baden-Baden, kreisfreie Stadt;25920;28387;54307
31.12.2016;08212;Karlsruhe, kreisfreie Stadt;158207;151792;309999
31.12.2016;08215;Karlsruhe, Landkreis;219370;220967;440337
31.12.2016;08216;Rastatt, Landkreis;113501;115406;228907
31.12.2016;08221;Heidelberg, kreisfreie Stadt;77167;82747;159914
31.12.2016;08222;Mannheim, kreisfreie Stadt;152203;152578;304781
31.12.2016;08225;Neckar-Odenwald-Kreis;71981;71297;143278
31.12.2016;08226;Rhein-Neckar-Kreis;267622;276778;544400
31.12.2016;08231;Pforzheim, kreisfreie Stadt;60582;62911;123493
31.12.2016;08235;Calw, Landkreis;78144;77816;155960
31.12.2016;08236;Enzkreis;97731;99515;197246
31.12.2016;08237;Freudenstadt, Landkreis;58132;58560;116692
31.12.2016;08311;Freiburg im Breisgau, kreisfreie Stadt;108503;119087;227590
31.12.2016;08315;Breisgau-Hochschwarzwald, Landkreis;128315;132101;260416
31.12.2016;08316;Emmendingen, Landkreis;80536;82715;163251
31.12.2016;08317;Ortenaukreis;210395;212964;423359
31.12.2016;08325;Rottweil, Landkreis;69067;69260;138327
31.12.2016;08326;Schwarzwald-Baar-Kreis;104236;105848;210084
31.12.2016;08327;Tuttlingen, Landkreis;69280;68839;138119
31.12.2016;08335;Konstanz, Landkreis;137462;144729;282191
31.12.2016;08336;Lörrach, Landkreis;111361;116184;227545
31.12.2016;08337;Waldshut, Landkreis;83593;85259;168852
31.12.2016;08415;Reutlingen, Landkreis;140847;143235;284082
31.12.2016;08416;Tübingen, Landkreis;109545;115090;224635
31.12.2016;08417;Zollernalbkreis;92731;94670;187401
31.12.2016;08421;Ulm, kreisfreie Stadt;61244;62709;123953
31.12.2016;08425;Alb-Donau-Kreis;97480;95838;193318
31.12.2016;08426;Biberach, Landkreis;98720;97486;196206
31.12.2016;08435;Bodenseekreis;104947;108123;213070
31.12.2016;08436;Ravensburg, Landkreis;140174;141453;281627
31.12.2016;08437;Sigmaringen, Landkreis;65482;64793;130275
31.12.2016;09161;Ingolstadt, kreisfreie Stadt;67383;66256;133639
31.12.2016;09162;München, kreisfreie Stadt;714112;750189;1464301
31.12.2016;09163;Rosenheim, kreisfreie Stadt;30760;31912;62672
31.12.2016;09171;Altötting, Landkreis;53877;55545;109422
31.12.2016;09172;Berchtesgadener Land, Landkreis;51260;53220;104480
31.12.2016;09173;Bad Tölz-Wolfratshausen, Landkreis;61903;63765;125668
31.12.2016;09174;Dachau, Landkreis;75409;75430;150839
31.12.2016;09175;Ebersberg, Landkreis;69277;69739;139016
31.12.2016;09176;Eichstätt, Landkreis;66603;64205;130808
31.12.2016;09177;Erding, Landkreis;68220;67209;135429
31.12.2016;09178;Freising, Landkreis;89513;86290;175803
31.12.2016;09179;Fürstenfeldbruck, Landkreis;106290;110567;216857
31.12.2016;09180;Garmisch-Partenkirchen, Landkreis;42635;45242;87877
31.12.2016;09181;Landsberg am Lech, Landkreis;59535;59190;118725
31.12.2016;09182;Miesbach, Landkreis;48322;50506;98828
31.12.2016;09183;Mühldorf am Inn, Landkreis;57212;56010;113222
31.12.2016;09184;München, Landkreis;170377;173028;343405
31.12.2016;09185;Neuburg-Schrobenhausen, Landkreis;48276;47483;95759
31.12.2016;09186;Pfaffenhofen an der Ilm, Landkreis;63764;61321;125085
31.12.2016;09187;Rosenheim, Landkreis;127465;130001;257466
31.12.2016;09188;Starnberg, Landkreis;65294;69438;134732
31.12.2016;09189;Traunstein, Landkreis;86720;88711;175431
31.12.2016;09190;Weilheim-Schongau, Landkreis;66531;67328;133859
31.12.2016;09261;Landshut, kreisfreie Stadt;33927;36098;70025
31.12.2016;09262;Passau, kreisfreie Stadt;24380;26694;51074
31.12.2016;09263;Straubing, kreisfreie Stadt;23683;23459;47142
31.12.2016;09271;Deggendorf, Landkreis;58457;59144;117601
31.12.2016;09272;Freyung-Grafenau, Landkreis;38989;39191;78180
31.12.2016;09273;Kelheim, Landkreis;60878;59091;119969
31.12.2016;09274;Landshut, Landkreis;78858;76584;155442
31.12.2016;09275;Passau, Landkreis;93677;95227;188904
