ID;Kreise;Maennlich;Weiblich;Insgesamt
08336;Lörrach, Landkreis;111361;116184;227545
08337;Waldshut, Landkreis;83593;85259;168852
08415;Reutlingen, Landkreis;140847;143235;284082
08416;Tübingen, Landkreis;109545;115090;224635
08417;Zollernalbkreis;92731;94670;187401
08421;Ulm, kreisfreie Stadt;61244;62709;123953
08425;Alb-Donau-Kreis;97480;95838;193318
08426;Biberach, Landkreis;98720;97486;196206
08435;Bodenseekreis;104947;108123;213070
08436;Ravensburg, Landkreis;140174;141453;281627
08437;Sigmaringen, Landkreis;65482;64793;130275
09161;Ingolstadt, kreisfreie Stadt;67383;66256;133639
09162;München, kreisfreie Stadt;714112;750189;1464301
09163;Rosenheim, kreisfreie Stadt;30760;31912;62672
09171;Altötting, Landkreis;53877;55545;109422
09172;Berchtesgadener Land, Landkreis;51260;53220;104480
09173;Bad Tölz-Wolfratshausen, Landkreis;61903;63765;125668
09174;Dachau, Landkreis;75409;75430;150839
09175;Ebersberg, Landkreis;69277;69739;139016
09176;Eichstätt, Landkreis;66603;64205;130808
09177;Erding, Landkreis;68220;67209;135429
09178;Freising, Landkreis;89513;86290;175803
09179;Fürstenfeldbruck, Landkreis;106290;110567;216857
09180;Garmisch-Partenkirchen, Landkreis;42635;45242;87877
09181;Landsberg am Lech, Landkreis;59535;59190;118725
09182;Miesbach, Landkreis;48322;50506;98828
09183;Mühldorf am Inn, Landkreis;57212;56010;113222
09184;München, Landkreis;170377;173028;343405
09185;Neuburg-Schrobenhausen, Landkreis;48276;47483;95759
09186;Pfaffenhofen an der Ilm, Landkreis;63764;61321;125085
09187;Rosenheim, Landkreis;127465;130001;257466
09188;Starnberg, Landkreis;65294;69438;134732
09189;Traunstein, Landkreis;86720;88711;175431
09190;Weilheim-Schongau, Landkreis;66531;67328;133859
09261;Landshut, kreisfreie Stadt;33927;36098;70025
09262;Passau, kreisfreie Stadt;24380;26694;51074
09263;Straubing, kreisfreie Stadt;23683;23459;47142
09271;Deggendorf, Landkreis;58457;59144;117601
09272;Freyung-Grafenau, Landkreis;38989;39191;78180
09273;Kelheim, Landkreis;60878;59091;119969
09274;Landshut, Landkreis;78858;76584;155442
09275;Passau, Landkreis;93677;95227;188904
09276;Regen, Landkreis;38568;38619;77187
09277;Rottal-Inn, Landkreis;59621;59996;119617
09278;Straubing-Bogen, Landkreis;49867;49354;99221
09279;Dingolfing-Landau, Landkreis;49087;45948;95035
09361;Amberg, kreisfreie Stadt;20901;21447;42348
09362;Regensburg, kreisfreie Stadt;71800;76838;148638
09363;Weiden in der Oberpfalz, kreisfreie Stadt;20457;22037;42494
09371;Amberg-Sulzbach, Landkreis;51539;51470;103009
09372;Cham, Landkreis;63589;63329;126918
09373;Neumarkt in der Oberpfalz, Landkreis;66526;65136;131662
09374;Neustadt an der Waldnaab, Landkreis;46996;47532;94528
09375;Regensburg, Landkreis;95267;95214;190481
09376;Schwandorf, Landkreis;73054;72328;145382
09377;Tirschenreuth, Landkreis;36285;36633;72918
09461;Bamberg, kreisfreie Stadt;36286;39457;75743
09462;Bayreuth, kreisfreie Stadt;35438;37627;73065
09463;Coburg, kreisfreie Stadt;19929;21142;41071
09464;Hof, kreisfreie Stadt;21631;23552;45183
09471;Bamberg, Landkreis;73163;72879;146042
09472;Bayreuth, Landkreis;51365;52511;103876
09473;Coburg, Landkreis;42932;43802;86734
09474;Forchheim, Landkreis;57091;58168;115259
09475;Hof, Landkreis;46786;49129;95915
09476;Kronach, Landkreis;33304;34309;67613
09477;Kulmbach, Landkreis;35292;36701;71993
09478;Lichtenfels, Landkreis;32872;33768;66640
09479;Wunsiedel im Fichtelgebirge, Landkreis;35715;37545;73260
09561;Ansbach, kreisfreie Stadt;19885;21647;41532
09562;Erlangen, kreisfreie Stadt;54603;55635;110238
09563;Fürth, kreisfreie Stadt;61372;64031;125403
09564;Nürnberg, kreisfreie Stadt;248451;263177;511628
09565;Schwabach, kreisfreie Stadt;19821;20886;40707
09571;Ansbach, Landkreis;91474;90704;182178
09572;Erlangen-Höchstadt, Landkreis;66980;67660;134640
09573;Fürth, Landkreis;56338;59633;115971
09574;Nürnberger Land, Landkreis;83261;85632;168893
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;49611;49721;99332
09576;Roth, Landkreis;62441;63122;125563
09577;Weißenburg-Gunzenhausen, Landkreis;46859;47115;93974
09661;Aschaffenburg, kreisfreie Stadt;33450;35737;69187
09662;Schweinfurt, kreisfreie Stadt;25637;27087;52724
09663;Würzburg, kreisfreie Stadt;59978;66032;126010
09671;Aschaffenburg, Landkreis;86125;87379;173504
09672;Bad Kissingen, Landkreis;50660;52440;103100
09673;Rhön-Grabfeld, Landkreis;39725;40130;79855
09674;Haßberge, Landkreis;42326;42047;84373
09675;Kitzingen, Landkreis;45051;44697;89748
